Question,Answer,Topic,Tags
"Про що Layer 2?","Про реалізацію того самого agent loop без LangChain objects, через raw Ollama SDK і manual JSON tool schemas.","Layer 2 Raw Function Calling with Ollama JSON Schemas","agents;ollama;raw-function-calling"
"Що замінює LangChain @tool?","Plain Python functions плюс manual JSON schemas у tools_for_llm.","Layer 2 Raw Function Calling with Ollama JSON Schemas","tools;json-schema"
"Що приховує LangChain @tool according to source?","JSON schema generation із function name, docstring, type hints і arguments.","Layer 2 Raw Function Calling with Ollama JSON Schemas","langchain;tool-abstraction"
"Що замінює llm_with_tools.invoke(...)?","ollama.chat(...), обгорнутий у ollama_chat_traced.","Layer 2 Raw Function Calling with Ollama JSON Schemas","ollama;sdk"
"Що замінює SystemMessage і HumanMessage?","Raw dictionaries з role і content.","Layer 2 Raw Function Calling with Ollama JSON Schemas","messages;provider-specific"
"Що замінює ToolMessage?","Raw dictionary з role: tool і content, рівним observation.","Layer 2 Raw Function Calling with Ollama JSON Schemas","tool-message;observation"
"Як читається selected tool name в Ollama response?","Через tool_call.function.name.","Layer 2 Raw Function Calling with Ollama JSON Schemas","tool-calling;ollama"
"Як читаються tool arguments в Ollama response?","Через tool_call.function.arguments.","Layer 2 Raw Function Calling with Ollama JSON Schemas","tool-calling;arguments"
"Як виконується tool у raw version?","Через direct Python call: tool_to_use(**tool_args).","Layer 2 Raw Function Calling with Ollama JSON Schemas","tool-dispatch;python"
"Чому vendor switching складніший без LangChain?","Tool schemas, message formats, SDK calls і response shapes можуть відрізнятися між providers.","Layer 2 Raw Function Calling with Ollama JSON Schemas","provider-portability;integration-cost"
"Чому manual JSON schema risky?","Вона може drift від real function signatures і створити runtime bugs.","Layer 2 Raw Function Calling with Ollama JSON Schemas","schema-drift;production"
"Головний lesson Layer 2?","Function calling — structured API behavior, не magic; LangChain переважно зменшує integration boilerplate.","Layer 2 Raw Function Calling with Ollama JSON Schemas","function-calling;langchain-abstractions"
