Question,Answer,Topic,Tags
"Що реалізує Layer 1?","Manual ReAct-style agent loop із LangChain primitives для model, tools, messages і tracing.","Layer 1 ReAct Loop with LangChain Tool Calling","agents;langchain;react-loop"
"Що робить @tool у цьому source?","Перетворює Python function у LangChain tool, використовуючи function name, docstring і type hints як tool metadata.","Layer 1 ReAct Loop with LangChain Tool Calling","langchain;tools"
"Що робить bind_tools(tools)?","Прикріплює tool definitions до chat model, щоб model могла return structured tool calls.","Layer 1 ReAct Loop with LangChain Tool Calling","bind-tools;tool-calling"
"Чи LLM виконує tool?","Ні. LLM повертає tool call; application code виконує tool.","Layer 1 ReAct Loop with LangChain Tool Calling","tools;agent-execution"
"Для чого ToolMessage?","Він передає actual tool result назад у message history.","Layer 1 ReAct Loop with LangChain Tool Calling","toolmessage;observation"
"Що таке observation?","Result returned by executing the selected tool.","Layer 1 ReAct Loop with LangChain Tool Calling","observation;agent-loop"
"Навіщо MAX_ITERATIONS?","Щоб запобігти unbounded agent loops.","Layer 1 ReAct Loop with LangChain Tool Calling","reliability;failure-modes"
"Чому prompt забороняє guessing prices?","Щоб змусити model call get_product_price замість hallucinating a price.","Layer 1 ReAct Loop with LangChain Tool Calling","defensive-prompting;hallucination"
"Чому prompt забороняє manual discount calculation?","Щоб force tool usage і зменшити arithmetic або hallucination risk.","Layer 1 ReAct Loop with LangChain Tool Calling","defensive-prompting;tools"
"Чому processing only tool_calls[0] є simplification?","Modern models можуть return multiple tool calls, але example forces one tool per iteration.","Layer 1 ReAct Loop with LangChain Tool Calling","tool-calling;limitations"
"Чому easy model switching недостатній?","New model може behave worse for the same agent task; його треба benchmark and evaluate.","Layer 1 ReAct Loop with LangChain Tool Calling","model-switching;evaluation"
"Який production issue з returning 0 for unknown product?","Це може silently convert invalid input into valid-looking answer.","Layer 1 ReAct Loop with LangChain Tool Calling","production;data-quality"
