Question,Answer,Tags
"Яку проблему вирішує MCP?","MCP дозволяє не переписувати ті самі інтеграції для інструментів, ресурсів і prompts окремо під кожен AI-додаток, а відкривати їх через standard MCP server.","mcp;agents;tooling"
"Чи LLM виконує tools напряму?","Ні. LLM повертає tool call, а реальний tool виконує application або server code.","llm;tool-calling;agents"
"Що таке MCP host?","Це AI application, який підтримує MCP і може підключатися до зовнішніх tools, resources або prompts.","mcp-host;mcp"
"Що таке MCP client?","Це component всередині host, який взаємодіє з одним MCP server.","mcp-client;mcp"
"Що таке MCP server?","Це standardized wrapper/interface, який відкриває tools, resources і prompts для MCP-compatible hosts.","mcp-server;mcp"
"Які три primary interfaces expose MCP servers?","Tools, resources і prompts.","mcp-server;tools;resources;prompts"
"Де відбувається tool execution у MCP flow за source?","У runtime MCP server, а не всередині host application.","mcp;tool-execution;architecture"
"Яке твердження source про звʼязок MCP client і MCP server?","Один MCP client підключається до одного MCP server; для кількох servers host має мати кілька clients.","mcp-client;mcp-server;architecture"
"Чому MCP порівнюють з USB-C?","Тому що compatible server можна підключити до різних AI applications, якщо вони підтримують protocol.","mcp;interoperability"
"Який major security risk у community MCP servers?","Supply-chain risk: malicious або fake servers можуть викрадати дані або запускати шкідливий code.","mcp;security;supply-chain"
"Що таке sampling у source?","Capability, де MCP server просить host AI system згенерувати completion для prompt.","mcp;sampling;security"
"Яка головна architectural benefit MCP?","MCP відділяє agent orchestration від reusable services, які виконують tools, resources і prompts.","mcp;architecture;ai-platform"
