Question,Answer,Topic,Tags
"Яка core idea AI agent у цій section?","Agent — це LLM-driven loop, який reasons, selects tools, executes them through application code, observes results, and repeats until final answer.","Core Architecture of AI Agents","agents;agent-loop;react"
"Чи LLM виконує tool сама?","Ні. LLM selects tool and arguments; application code executes actual function.","Core Architecture of AI Agents","agents;tools"
"Що таке observation?","Real result returned by tool execution and fed back into agent context.","Core Architecture of AI Agents","observation;tools"
"Від чого захищає MAX_ITERATIONS?","Від infinite або excessively long agent loops.","Core Architecture of AI Agents","reliability;agent-loop"
"Що приховує LangChain @tool?","Tool wrapping і schema generation from function signature and docstring.","Core Architecture of AI Agents","langchain;tools"
"Що робить bind_tools() у source code?","Attaches available tools to the chat model.","Core Architecture of AI Agents","langchain;function-calling"
"Що показує raw function calling layer?","What LangChain hides: manual JSON schemas, raw SDK calls, message routing, and tool dispatch.","Core Architecture of AI Agents","function-calling;ollama"
"Що показує raw ReAct layer?","How an agent can work without function calling by using prompt format, regex parsing, and scratchpad.","Core Architecture of AI Agents","react;scratchpad;regex"
"Чому regex parsing fragile у raw ReAct?","Because it depends on the LLM following the exact text format.","Core Architecture of AI Agents","react;failure-modes"
"Навіщо stop=[\"\\nObservation\"] у raw ReAct?","To stop the model before it invents the observation, so the application can inject the real tool result.","Core Architecture of AI Agents","react;hallucination-control"
"Чому discount percentages non-obvious у прикладі?","So the model cannot reliably guess and must use the tools.","Core Architecture of AI Agents","tools;agent-loop"
"Який main production risk of tool-using agents?","Tool execution is a trust boundary and needs validation, authorization, tracing, and failure handling.","Core Architecture of AI Agents","production;security;reliability"
